id,correctAnswer
102501,A
102502,D
102503,B
102504,C
102505,D
102506,C
102507,C
102508,B
102509,D
102510,C
102511,A
102512,D
102513,D
102514,D
102515,C
102516,A
102517,A
102518,A
102519,B
102520,D
102521,A
102522,B
102523,A
102524,D
102525,B
102526,D
102527,D
102528,D
102529,B
102530,B
102531,D
102532,A
102533,C
102534,B
102535,A
102536,D
102537,C
102538,A
102539,D
102540,D
102541,D
102542,B
102543,C
102544,D
102545,B
102546,B
102547,C
102548,C
102549,D
102550,C
102551,B
102552,B
102553,C
102554,C
102555,B
102556,A
102557,C
102558,D
102559,B
102560,A
102561,A
102562,D
102563,B
102564,C
102565,A
102566,B
102567,D
102568,A
102569,A
102570,C
102571,C
102572,A
102573,D
102574,B
102575,C
102576,D
102577,A
102578,A
102579,D
102580,B
102581,D
102582,B
102583,C
102584,D
102585,A
102586,B
102587,C
102588,B
102589,B
102590,D
102591,A
102592,D
102593,B
102594,C
102595,D
102596,B
102597,C
102598,A
102599,D
102600,D
102601,D
102602,C
102603,A
102604,A
102605,B
102606,A
102607,B
102608,C
102609,A
102610,C
102611,B
102612,C
102613,C
102614,C
102615,D
102616,A
102617,D
102618,D
102619,D
102620,C
102621,B
102622,C
102623,B
102624,C
102625,C
102626,D
102627,A
102628,A
102629,C
102630,A
102631,B
102632,A
102633,A
102634,A
102635,C
102636,B
102637,B
102638,D
102639,A
102640,B
102641,A
102642,B
102643,B
102644,B
102645,B
102646,A
102647,D
102648,B
102649,C
102650,D
102651,D
102652,B
102653,B
102654,A
102655,D
102656,B
102657,D
102658,B
102659,C
102660,C
102661,B
102662,A
102663,A
102664,C
102665,B
102666,C
102667,B
102668,A
102669,C
102670,C
102671,C
102672,C
102673,D
102674,A
102675,A
102676,C
102677,B
102678,D
102679,C
102680,D
102681,D
102682,D
102683,B
102684,B
102685,D
102686,C
102687,A
102688,A
102689,D
102690,C
102691,B
102692,B
102693,B
102694,B
102695,B
102696,A
102697,A
102698,A
102699,C
102700,B
102701,B
102702,C
102703,C
102704,A
102705,B
102706,A
102707,D
102708,C
102709,A
102710,B
102711,B
102712,C
102713,B
102714,D
102715,D
102716,A
102717,C
102718,B
102719,B
102720,C
102721,C
102722,A
102723,D
102724,D
102725,A
102726,B
102727,A
102728,A
102729,C
102730,B
102731,B
102732,D
102733,C
102734,B
102735,B
102736,D
102737,C
102738,C
102739,A
102740,A
102741,C
102742,C
102743,B
102744,C
102745,C
102746,B
102747,C
102748,B
102749,B
102750,D
102751,A
102752,D
102753,A
102754,C
102755,B
102756,B
102757,B
102758,A
102759,B
102760,D
102761,B
102762,B
102763,A
102764,D
102765,C
102766,D
102767,D
102768,C
102769,C
102770,D
102771,C
102772,B
102773,D
102774,C
102775,A
102776,A
102777,B
102778,A
102779,C
102780,A
102781,A
102782,A
102783,A
102784,A
102785,A
102786,A
102787,D
102788,A
102789,D
102790,D
102791,C
102792,C
102793,D
102794,C
102795,D
102796,C
102797,B
102798,A
102799,D
102800,B
102801,D
102802,A
102803,D
102804,B
102805,D
102806,B
102807,B
102808,B
102809,B
102810,D
102811,C
102812,A
102813,A
102814,D
102815,B
102816,B
102817,D
102818,D
102819,D
102820,A
102821,C
102822,B
102823,B
102824,B
102825,A
102826,C
102827,B
102828,C
102829,C
102830,C
102831,A
102832,B
102833,D
102834,A
102835,A
102836,D
102837,A
102838,A
102839,D
102840,D
102841,B
102842,A
102843,A
102844,D
102845,D
102846,A
102847,D
102848,A
102849,C
102850,A
102851,D
102852,C
102853,B
102854,C
102855,A
102856,B
102857,B
102858,D
102859,A
102860,B
102861,A
102862,D
102863,A
102864,D
102865,C
102866,A
102867,D
102868,C
102869,A
102870,A
102871,A
102872,D
102873,D
102874,A
102875,D
102876,A
102877,D
102878,C
102879,D
102880,B
102881,B
102882,B
102883,B
102884,C
102885,A
102886,D
102887,B
102888,D
102889,B
102890,D
102891,C
102892,B
102893,B
102894,D
102895,C
102896,D
102897,A
102898,C
102899,D
102900,A
102901,A
102902,B
102903,A
102904,A
102905,A
102906,D
102907,B
102908,B
102909,D
102910,C
102911,C
102912,A
102913,A
102914,B
102915,C
102916,D
102917,C
102918,C
102919,D
102920,B
102921,D
102922,A
102923,D
102924,B
102925,B
102926,C
102927,A
102928,D
102929,B
102930,C
102931,A
102932,D
102933,C
102934,B
102935,D
102936,A
102937,D
102938,D
102939,D
102940,C
102941,A
102942,A
102943,B
102944,A
102945,D
102946,D
102947,B
102948,D
102949,D
102950,D
102951,B
102952,D
102953,C
102954,C
102955,D
102956,B
102957,C
102958,D
102959,B
102960,D
102961,B
102962,D
102963,D
102964,C
102965,A
102966,C
102967,B
102968,A
102969,D
102970,D
102971,A
102972,D
102973,B
102974,A
102975,D
102976,D
102977,A
102978,D
102979,C
102980,A
102981,B
102982,A
102983,C
102984,B
102985,B
102986,A
102987,D
102988,A
102989,B
102990,A
102991,A
102992,A
102993,C
102994,C
102995,B
102996,A
102997,C
102998,D
102999,B
103000,D
103001,C
103002,D
103003,D
103004,C
103005,C
103006,C
103007,C
103008,D
103009,D
103010,B
103011,B
103012,B
103013,C
103014,A
103015,C
103016,D
103017,B
103018,A
103019,C
103020,B
103021,C
103022,A
103023,B
103024,C
103025,C
103026,A
103027,C
103028,B
103029,B
103030,D
103031,C
103032,A
103033,B
103034,C
103035,D
103036,A
103037,B
103038,B
103039,D
103040,C
103041,B
103042,D
103043,C
103044,C
103045,C
103046,A
103047,D
103048,A
103049,C
103050,A
103051,B
103052,B
103053,D
103054,A
103055,C
103056,A
103057,A
103058,C
103059,C
103060,D
103061,A
103062,C
103063,A
103064,B
103065,A
103066,C
103067,A
103068,A
103069,A
103070,D
103071,D
103072,A
103073,B
103074,C
103075,D
103076,B
103077,A
103078,C
103079,C
103080,D
103081,A
103082,D
103083,C
103084,B
103085,C
103086,D
103087,C
103088,B
103089,A
103090,D
103091,B
103092,A
103093,C
103094,C
103095,D
103096,A
103097,C
103098,B
103099,B
103100,B
103101,C
103102,A
103103,A
103104,A
103105,B
103106,B
103107,B
103108,C
103109,B
103110,B
103111,D
103112,D
